JPM
HD
JNJ
PG
BAC
PFE
XOM
CSCO
CMCSA
AVGO
PEP
CVX
LLY
VZ
QCOM
ABBV
KO
WMT
INTC
WFC
MRK
MCD
TXN
NEE
LIN
T
UPS
PM
MS
C
RTX
TGT
BMY
CVS
AMGN
CAT
BLK
IBM
MMM
ADP
COP
GILD
PNC
LMT
MDLZ
TFC
CME
MO
CB
DUK
USB
ITW
WM
SO
ETN
APD
CL
D
PGR
JCI
EMR
EXC
EOG
GD
AIG
TROW
NEM
KMB
BK
MET
HPQ
LHX
DOW
AEP
SLB
PRU
DD
MPC
PAYX
SRE
GIS
TRV
AFL
IFF
ADM
XEL
SYY
FAST
AJG
AMP
